1|1|1|10|8|2026-06-01 08:15:00|720
2|2|1|10|6|2026-06-01 08:40:00|690
3|3|2|10|7|2026-06-01 09:05:00|760
4|4|2|10|9|2026-06-01 09:35:00|810
5|5|3|10|5|2026-06-02 08:20:00|700
6|6|3|10|8|2026-06-02 08:50:00|735
7|7|4|10|7|2026-06-02 09:20:00|780
8|8|4|10|6|2026-06-02 09:45:00|740
9|9|5|10|9|2026-06-03 08:10:00|800
10|10|5|10|4|2026-06-03 08:35:00|660
11|11|1|10|7|2026-06-03 09:00:00|710
12|12|2|10|8|2026-06-03 09:30:00|745
13|1|3|10|6|2026-06-04 08:15:00|690
14|2|4|10|7|2026-06-04 08:40:00|725
15|3|5|10|8|2026-06-04 09:05:00|755
16|4|1|10|5|2026-06-04 09:30:00|680
17|5|2|10|9|2026-06-05 08:10:00|790
18|6|3|10|7|2026-06-05 08:35:00|730
19|7|4|10|6|2026-06-05 09:00:00|705
20|8|5|10|8|2026-06-05 09:25:00|765
21|12|1|4|4|2026-06-07 17:19:48|38
22|1|1|10|0|2026-06-07 17:20:09|8
23|5|1|10|0|2026-06-07 17:21:29|65
24|1|1|2|0|2026-06-21 11:59:53|341
25|1|1|2|0|2026-06-21 12:05:23|122
26|1|1|2|0|2026-06-21 12:08:42|60
